+-------------+------------------+
| AMKA        | count_procedures |
+-------------+------------------+
| 21015032143 |                0 |
| 21015073624 |                0 |
| 31015004799 |                0 |
| 31015051979 |                0 |
| 31015090696 |                0 |
| 41015038469 |                0 |
| 41015092541 |                0 |
| 11015026999 |                0 |
| 11015071644 |                0 |
| 21015003022 |                0 |
| 21015050587 |                0 |
| 21015087307 |                0 |
| 31015026999 |                0 |
| 31015071644 |                0 |
| 41015003022 |                0 |
| 41015059551 |                0 |
| 11015079227 |                0 |
| 21015021985 |                0 |
| 21015066455 |                0 |
| 21015099063 |                0 |
| 31015044951 |                0 |
| 31015079227 |                0 |
| 41015030145 |                0 |
| 41015079227 |                0 |
| 21015038780 |                0 |
| 21015076952 |                0 |
| 31015015028 |                0 |
| 31015061156 |                0 |
| 31015096645 |                0 |
| 41015051194 |                0 |
| 21015009749 |                0 |
| 21015055957 |                0 |
| 21015093390 |                0 |
| 31015038307 |                0 |
| 31015075524 |                0 |
| 41015015028 |                0 |
| 41015073624 |                0 |
| 11015091203 |                0 |
| 21015034828 |                0 |
| 21015074151 |                0 |
| 31015005752 |                0 |
| 31015052371 |                0 |
| 31015091203 |                0 |
| 41015038780 |                0 |
| 41015093229 |                0 |
| 11015028014 |                0 |
| 21015003086 |                0 |
| 21015050998 |                0 |
| 21015087637 |                0 |
| 31015028014 |                0 |
| 31015071902 |                0 |
| 41015003086 |                0 |
| 41015061156 |                0 |
| 11015001337 |                0 |
| 21015022813 |                0 |
| 21015066473 |                0 |
| 31015001337 |                0 |
| 31015047725 |                0 |
| 31015080947 |                0 |
| 41015032143 |                0 |
| 41015080947 |                0 |
| 11015018604 |                0 |
| 11015064821 |                0 |
| 11015097001 |                0 |
| 21015041650 |                0 |
| 21015077103 |                0 |
| 31015018604 |                0 |
| 31015064821 |                0 |
| 31015097001 |                0 |
| 41015051979 |                0 |
| 11015076159 |                0 |
| 21015012227 |                0 |
| 21015058240 |                0 |
| 21015094727 |                0 |
| 31015038469 |                0 |
| 31015076159 |                0 |
| 41015018604 |                0 |
| 41015074295 |                0 |
| 11015007359 |                0 |
